purchaseorderid,purchaseorderdetailid,vendor_name,product_name,category,orderqty,unitprice,standardcost,vp_avg_price,price_deviation,price_deviation_pct,z_score,rejection_rate,line_total,anomaly_raw,is_anomaly,anomaly_flag,orderdate,order_year,order_month
4012,8845,Integrated Sport Products,"Short-Sleeve Classic Jersey, XL",Clothing,6000,41.57,41.5723,41.57,0.0,0.0,0.0,0.0,249420.0,-0.6908539079961873,True,Abnormal Order Volume,2025-06-23,2025.0,6.0
4012,8844,Integrated Sport Products,"Short-Sleeve Classic Jersey, L",Clothing,6000,41.57,41.5723,41.57,0.0,0.0,0.0,0.0,249420.0,-0.6908539079961873,True,Abnormal Order Volume,2025-06-23,2025.0,6.0
4007,8807,Fitness Association,"Men's Sports Shorts, M",Clothing,5000,24.75,24.7459,24.75,0.0,0.0,0.0,0.0,123750.0,-0.6881095149871498,True,Abnormal Order Volume,2025-02-28,2025.0,2.0
4007,8808,Fitness Association,"Men's Sports Shorts, L",Clothing,5000,24.75,24.7459,24.75,0.0,0.0,0.0,0.0,123750.0,-0.6881095149871498,True,Abnormal Order Volume,2025-02-28,2025.0,2.0
4007,8809,Fitness Association,"Men's Sports Shorts, XL",Clothing,5000,24.75,24.7459,24.75,0.0,0.0,0.0,0.0,123750.0,-0.6881095149871498,True,Abnormal Order Volume,2025-02-28,2025.0,2.0
1504,3389,"Compete Enterprises, Inc",HL Road Pedal,Components,550,62.9895,35.9596,62.98950000000001,-7.105427357601002e-15,-1.1280336179206062e-14,0.0,1.0,34644.23,-0.6856189605929056,True,High Rejection Rate,2024-12-22,2024.0,12.0
1004,2234,Varsity Sport Co.,Chain,Components,60,15.7395,8.9866,15.7395,0.0,0.0,0.0,1.0,944.37,-0.6785587976470103,True,High Rejection Rate,2024-10-05,2024.0,10.0
144,346,Signature Cycles,ML Road Tire,Accessories,550,39.2385,9.3463,39.2385,0.0,0.0,0.0,1.0,21581.18,-0.6766999169349149,True,High Rejection Rate,2023-04-11,2023.0,4.0
1704,3807,Signature Cycles,ML Road Tire,Accessories,550,39.2385,9.3463,39.2385,0.0,0.0,0.0,1.0,21581.18,-0.6766999169349149,True,High Rejection Rate,2025-01-14,2025.0,1.0
2204,4901,Bicycle Specialists,Touring Pedal,Components,550,62.9895,35.9596,62.9895,0.0,0.0,0.0,1.0,34644.23,-0.6755808588431798,True,High Rejection Rate,2025-03-04,2025.0,3.0
1704,3806,Signature Cycles,LL Road Tire,Accessories,550,34.3455,8.0373,34.3455,0.0,0.0,0.0,1.0,18890.03,-0.6727688024149657,True,High Rejection Rate,2025-01-14,2025.0,1.0
144,345,Signature Cycles,LL Road Tire,Accessories,550,34.3455,8.0373,34.3455,0.0,0.0,0.0,1.0,18890.03,-0.6727688024149657,True,High Rejection Rate,2023-04-11,2023.0,4.0
74,167,Victory Bikes,HL Road Tire,Accessories,550,43.4595,12.1924,43.4595,0.0,0.0,0.0,1.0,23902.73,-0.6675311231077962,True,High Rejection Rate,2023-02-08,2023.0,2.0
4008,8827,Team Athletic Co.,"Women's Mountain Shorts, S",Clothing,2000,26.18,26.1763,26.18,0.0,0.0,0.0,0.0,52360.0,-0.6590811206833536,True,Abnormal Order Volume,2025-04-21,2025.0,4.0
4008,8828,Team Athletic Co.,"Women's Mountain Shorts, M",Clothing,2000,26.18,26.1763,26.18,0.0,0.0,0.0,0.0,52360.0,-0.6590811206833536,True,Abnormal Order Volume,2025-04-21,2025.0,4.0
4008,8830,Team Athletic Co.,"Women's Mountain Shorts, L",Clothing,2000,26.18,26.1763,26.18,0.0,0.0,0.0,0.0,52360.0,-0.6590811206833536,True,Abnormal Order Volume,2025-04-21,2025.0,4.0
2182,4855,Superior Bicycles,Front Brakes,Components,550,82.8345,47.286,82.8345,0.0,0.0,0.0,0.14909090909090908,45558.98,-0.6536999023282951,True,Abnormal Order Volume,2025-03-02,2025.0,3.0
1392,3159,Superior Bicycles,Front Brakes,Components,550,82.8345,47.286,82.8345,0.0,0.0,0.0,0.14909090909090908,45558.98,-0.6536999023282951,True,Abnormal Order Volume,2024-12-10,2024.0,12.0
2972,6570,Superior Bicycles,Front Brakes,Components,550,82.8345,47.286,82.8345,0.0,0.0,0.0,0.14909090909090908,45558.98,-0.6536999023282951,True,Abnormal Order Volume,2025-05-18,2025.0,5.0
3762,8285,Superior Bicycles,Front Brakes,Components,550,82.8345,47.286,82.8345,0.0,0.0,0.0,0.14909090909090908,45558.98,-0.6536999023282951,True,Abnormal Order Volume,2025-07-18,2025.0,7.0
234,554,Vista Road Bikes,LL Mountain Tire,Accessories,550,32.2455,9.3463,32.2455,0.0,0.0,0.0,1.0,17735.03,-0.651614337517735,True,High Rejection Rate,2023-08-28,2023.0,8.0
74,168,Victory Bikes,Touring Tire,Accessories,550,37.6215,10.8423,37.6215,0.0,0.0,0.0,1.0,20691.83,-0.6507040441507081,True,High Rejection Rate,2023-02-08,2023.0,2.0
304,694,Sport Fan Co.,LL Mountain Tire,Accessories,550,32.7705,9.3463,32.7705,0.0,0.0,0.0,1.0,18023.78,-0.6504923475001639,True,High Rejection Rate,2024-04-11,2024.0,4.0
334,757,Carlson Specialties,Paint - Red,,60,57.1515,0.0,57.1515,0.0,0.0,0.0,1.0,3429.09,-0.6485136968121471,True,High Rejection Rate,2024-04-24,2024.0,4.0
1104,2490,Carlson Specialties,Paint - Red,,60,57.1515,0.0,57.1515,0.0,0.0,0.0,1.0,3429.09,-0.6485136968121471,True,High Rejection Rate,2024-11-06,2024.0,11.0
364,823,Trey Research,Paint - Red,,60,58.2645,0.0,58.2645,0.0,0.0,0.0,1.0,3495.87,-0.6479338371830532,True,High Rejection Rate,2024-05-21,2024.0,5.0
3504,7745,Trey Research,Paint - Red,,60,58.2645,0.0,58.2645,0.0,0.0,0.0,1.0,3495.87,-0.6479338371830532,True,High Rejection Rate,2025-06-27,2025.0,6.0
314,713,West Junction Cycles,HL Crankarm,,550,46.4205,0.0,46.42049999999999,7.105427357601002e-15,1.5306658389291376e-14,0.0,1.0,25531.28,-0.6472214835033201,True,High Rejection Rate,2024-04-23,2024.0,4.0
654,1460,Northern Bike Travel,LL Nipple,,3,12.3585,0.0,12.3585,0.0,0.0,0.0,1.0,37.08,-0.6460234732152095,True,High Rejection Rate,2024-08-20,2024.0,8.0
2804,6212,Northern Bike Travel,LL Nipple,,3,12.3585,0.0,12.3585,0.0,0.0,0.0,1.0,37.08,-0.6460234732152095,True,High Rejection Rate,2025-04-30,2025.0,4.0
304,695,Sport Fan Co.,ML Mountain Tire,Accessories,550,37.086,11.2163,37.086,0.0,0.0,0.0,1.0,20397.3,-0.6447286156436045,True,High Rejection Rate,2024-04-11,2024.0,4.0
234,555,Vista Road Bikes,ML Mountain Tire,Accessories,550,36.561,11.2163,36.561,0.0,0.0,0.0,1.0,20108.55,-0.6438398737158034,True,High Rejection Rate,2023-08-28,2023.0,8.0
184,437,Consumer Cycles,HL Nipple,,3,19.9815,0.0,19.9815,0.0,0.0,0.0,1.0,59.94,-0.6428234353027731,True,High Rejection Rate,2023-06-22,2023.0,6.0
1504,3388,"Compete Enterprises, Inc",Guide Pulley,,550,1.365,0.0,1.365,0.0,0.0,0.0,1.0,750.75,-0.6394115242376958,True,High Rejection Rate,2024-12-22,2024.0,12.0
831,1860,Victory Bikes,Road Tire Tube,Accessories,550,6.531,1.4923,6.531,0.0,0.0,0.0,0.04909090909090909,3592.05,-0.6391592518750119,True,Abnormal Order Volume,2024-09-04,2024.0,9.0
1081,2436,Victory Bikes,Road Tire Tube,Accessories,550,6.531,1.4923,6.531,0.0,0.0,0.0,0.04909090909090909,3592.05,-0.6391592518750119,True,Abnormal Order Volume,2024-10-20,2024.0,10.0
694,1558,Chicago Rent-All,Reflector,,60,9.198,0.0,9.198,0.0,0.0,0.0,1.0,551.88,-0.638057292168185,True,High Rejection Rate,2024-08-25,2024.0,8.0
3130,6904,Superior Bicycles,Rear Brakes,Components,550,82.8345,47.286,82.8345,0.0,0.0,0.0,0.1,45558.98,-0.6380335082559726,True,Abnormal Order Volume,2025-05-29,2025.0,5.0
1550,3490,Superior Bicycles,Rear Brakes,Components,550,82.8345,47.286,82.8345,0.0,0.0,0.0,0.1,45558.98,-0.6380335082559726,True,Abnormal Order Volume,2024-12-25,2024.0,12.0
1000,2227,Superior Bicycles,Rear Brakes,Components,550,82.8345,47.286,82.8345,0.0,0.0,0.0,0.1,45558.98,-0.6380335082559726,True,Abnormal Order Volume,2024-10-05,2024.0,10.0
3920,8619,Superior Bicycles,Rear Brakes,Components,550,82.8345,47.286,82.8345,0.0,0.0,0.0,0.1,45558.98,-0.6380335082559726,True,Abnormal Order Volume,2025-07-28,2025.0,7.0
2340,5189,Superior Bicycles,Rear Brakes,Components,550,82.8345,47.286,82.8345,0.0,0.0,0.0,0.1,45558.98,-0.6380335082559726,True,Abnormal Order Volume,2025-03-18,2025.0,3.0
1060,2395,Superior Bicycles,Rear Brakes,Components,550,82.8345,47.286,82.8345,0.0,0.0,0.0,0.1,45558.98,-0.6380335082559726,True,Abnormal Order Volume,2024-10-14,2024.0,10.0
134,298,Morgan Bike Accessories,HL Grip Tape,,60,6.9825,0.0,6.9825,0.0,0.0,0.0,1.0,418.95,-0.6380059994373255,True,High Rejection Rate,2023-03-28,2023.0,3.0
364,822,Trey Research,Paint - Black,,60,50.7465,0.0,50.7465,0.0,0.0,0.0,1.0,3044.79,-0.6377696155806356,True,High Rejection Rate,2024-05-21,2024.0,5.0
3504,7744,Trey Research,Paint - Black,,60,50.7465,0.0,50.7465,0.0,0.0,0.0,1.0,3044.79,-0.6377696155806356,True,High Rejection Rate,2025-06-27,2025.0,6.0
34,83,Federal Sport,LL Shell,,550,2.3205,0.0,2.3205,0.0,0.0,0.0,1.0,1276.28,-0.6365575814013884,True,High Rejection Rate,2023-01-15,2023.0,1.0
1104,2489,Carlson Specialties,Paint - Black,,60,50.2635,0.0,50.2635,0.0,0.0,0.0,1.0,3015.81,-0.6364393748203838,True,High Rejection Rate,2024-11-06,2024.0,11.0
334,756,Carlson Specialties,Paint - Black,,60,50.2635,0.0,50.2635,0.0,0.0,0.0,1.0,3015.81,-0.6364393748203838,True,High Rejection Rate,2024-04-24,2024.0,4.0
294,666,National Bike Association,LL Grip Tape,,60,3.381,0.0,3.381,0.0,0.0,0.0,1.0,202.86,-0.6356523376666879,True,High Rejection Rate,2024-02-13,2024.0,2.0
734,1625,"Premier Sport, Inc.",Touring Rim,,550,39.1965,0.0,39.1965,0.0,0.0,0.0,1.0,21558.08,-0.6346489998451468,True,High Rejection Rate,2024-08-27,2024.0,8.0
1304,2942,"Premier Sport, Inc.",Touring Rim,,550,39.1965,0.0,39.1965,0.0,0.0,0.0,1.0,21558.08,-0.6346489998451468,True,High Rejection Rate,2024-11-28,2024.0,11.0
2404,5321,Mitchell Sports,ML Road Pedal,Components,550,48.2895,27.568,48.2895,0.0,0.0,0.0,1.0,26559.23,-0.633964325633648,True,High Rejection Rate,2025-03-25,2025.0,3.0
284,650,Jackson Authority,ML Road Pedal,Components,550,48.2895,27.568,48.2895,0.0,0.0,0.0,1.0,26559.23,-0.633964325633648,True,High Rejection Rate,2024-02-08,2024.0,2.0
1904,4264,Crowley Sport,ML Mountain Pedal,Components,550,48.2895,27.568,48.2895,0.0,0.0,0.0,1.0,26559.23,-0.633964325633648,True,High Rejection Rate,2025-02-05,2025.0,2.0
54,121,Mitchell Sports,ML Road Pedal,Components,550,48.2895,27.568,48.2895,0.0,0.0,0.0,1.0,26559.23,-0.633964325633648,True,High Rejection Rate,2023-01-23,2023.0,1.0
344,786,Crowley Sport,ML Mountain Pedal,Components,550,48.2895,27.568,48.2895,0.0,0.0,0.0,1.0,26559.23,-0.633964325633648,True,High Rejection Rate,2024-05-08,2024.0,5.0
354,810,Greenwood Athletic Company,ML Mountain Pedal,Components,550,48.2895,27.568,48.2895,0.0,0.0,0.0,1.0,26559.23,-0.633964325633648,True,High Rejection Rate,2024-05-21,2024.0,5.0
2704,6013,Greenwood Athletic Company,ML Mountain Pedal,Components,550,48.2895,27.568,48.2895,0.0,0.0,0.0,1.0,26559.23,-0.633964325633648,True,High Rejection Rate,2025-04-22,2025.0,4.0
294,667,National Bike Association,ML Grip Tape,,60,4.3155,0.0,4.3155,0.0,0.0,0.0,1.0,258.93,-0.633931760689827,True,High Rejection Rate,2024-02-13,2024.0,2.0
274,633,Gardner Touring Cycles,LL Grip Tape,,60,3.6015,0.0,3.6015,0.0,0.0,0.0,1.0,216.09,-0.6332320035507879,True,High Rejection Rate,2023-10-17,2023.0,10.0
274,634,Gardner Touring Cycles,ML Grip Tape,,60,3.9795,0.0,3.9795,0.0,0.0,0.0,1.0,238.77,-0.6322788217555764,True,High Rejection Rate,2023-10-17,2023.0,10.0
114,259,First National Sport Co.,HL Shell,,550,3.6435,0.0,3.6435,0.0,0.0,0.0,1.0,2003.93,-0.6322305319024533,True,High Rejection Rate,2023-03-09,2023.0,3.0
714,1594,Hill's Bicycle Service,LL Road Seat/Saddle,Components,550,21.0945,12.0413,21.0945,0.0,0.0,0.0,1.0,11601.98,-0.631928134313774,True,High Rejection Rate,2024-08-26,2024.0,8.0
194,470,First Rate Bicycles,LL Mountain Seat/Saddle,Components,550,21.0945,12.0413,21.0945,0.0,0.0,0.0,1.0,11601.98,-0.631928134313774,True,High Rejection Rate,2023-06-25,2023.0,6.0
414,917,Chicago City Saddles,LL Mountain Seat/Saddle,Components,550,21.0945,12.0413,21.0945,0.0,0.0,0.0,1.0,11601.98,-0.631928134313774,True,High Rejection Rate,2024-07-29,2024.0,7.0
84,188,American Bikes,HL Road Rim,,550,37.086,0.0,37.086,0.0,0.0,0.0,1.0,20397.3,-0.6314653184766448,True,High Rejection Rate,2023-02-08,2023.0,2.0
4008,8823,Team Athletic Co.,"Classic Vest, M",Clothing,1250,23.75,23.749,23.75,0.0,0.0,0.0,0.0,29687.5,-0.6273818749704146,True,Abnormal Order Volume,2025-04-21,2025.0,4.0
4008,8822,Team Athletic Co.,"Classic Vest, S",Clothing,1250,23.75,23.749,23.75,0.0,0.0,0.0,0.0,29687.5,-0.6273818749704146,True,Abnormal Order Volume,2025-04-21,2025.0,4.0
4008,8824,Team Athletic Co.,"Classic Vest, L",Clothing,1250,23.75,23.749,23.75,0.0,0.0,0.0,0.0,29687.5,-0.6273818749704146,True,Abnormal Order Volume,2025-04-21,2025.0,4.0
4008,8826,Team Athletic Co.,"Classic Vest, L",Clothing,1250,23.75,23.749,23.75,0.0,0.0,0.0,0.0,29687.5,-0.6273818749704146,True,Abnormal Order Volume,2025-04-21,2025.0,4.0
4008,8829,Team Athletic Co.,"Classic Vest, M",Clothing,1250,23.75,23.749,23.75,0.0,0.0,0.0,0.0,29687.5,-0.6273818749704146,True,Abnormal Order Volume,2025-04-21,2025.0,4.0
4008,8825,Team Athletic Co.,"Classic Vest, M",Clothing,1250,23.75,23.749,23.75,0.0,0.0,0.0,0.0,29687.5,-0.6273818749704146,True,Abnormal Order Volume,2025-04-21,2025.0,4.0
94,214,Burnett Road Warriors,Pinch Bolt,,3,34.188,0.0,34.188,0.0,0.0,0.0,1.0,102.56,-0.6256199978146864,True,High Rejection Rate,2023-02-26,2023.0,2.0
2262,5027,SUPERSALES INC.,Decal 1,,1250,0.21,0.0,0.21,0.0,0.0,0.0,0.1496,262.5,-0.6255203279384735,True,Abnormal Order Volume,2025-03-09,2025.0,3.0
3842,8457,SUPERSALES INC.,Decal 1,,1250,0.21,0.0,0.21,0.0,0.0,0.0,0.1496,262.5,-0.6255203279384735,True,Abnormal Order Volume,2025-07-24,2025.0,7.0
1472,3328,SUPERSALES INC.,Decal 1,,1250,0.21,0.0,0.21,0.0,0.0,0.0,0.1496,262.5,-0.6255203279384735,True,Abnormal Order Volume,2024-12-18,2024.0,12.0
3052,6742,SUPERSALES INC.,Decal 1,,1250,0.21,0.0,0.21,0.0,0.0,0.0,0.1496,262.5,-0.6255203279384735,True,Abnormal Order Volume,2025-05-23,2025.0,5.0
204,488,International Sport Assoc.,Spokes,,550,6.7515,0.0,6.7515,0.0,0.0,0.0,1.0,3713.33,-0.6250115833263136,True,High Rejection Rate,2023-07-27,2023.0,7.0
3304,7295,Anderson's Custom Bikes,Touring Rim,,550,26.5965,0.0,26.5965,0.0,0.0,0.0,1.0,14628.08,-0.6246924306950576,True,High Rejection Rate,2025-06-12,2025.0,6.0
164,387,Anderson's Custom Bikes,Touring Rim,,550,26.5965,0.0,26.5965,0.0,0.0,0.0,1.0,14628.08,-0.6246924306950576,True,High Rejection Rate,2023-05-30,2023.0,5.0
24,57,"Compete, Inc.",Front Derailleur Linkage,,550,1.47,0.0,1.47,0.0,0.0,0.0,1.0,808.5,-0.6230004766786096,True,High Rejection Rate,2022-12-14,2022.0,12.0
174,413,Business Equipment Center,Crown Race,,3,50.2635,0.0,50.2635,0.0,0.0,0.0,1.0,150.79,-0.6219706860416139,True,High Rejection Rate,2023-06-11,2023.0,6.0
384,862,Sport Playground,Freewheel,,550,10.815,0.0,10.815,0.0,0.0,0.0,1.0,5948.25,-0.6218897900347965,True,High Rejection Rate,2024-05-28,2024.0,5.0
1204,2721,Hill Bicycle Center,HL Spindle/Axle,,550,12.9675,0.0,12.9675,0.0,0.0,0.0,1.0,7132.13,-0.6218367161299011,True,High Rejection Rate,2024-11-18,2024.0,11.0
944,2117,Circuit Cycles,Front Derailleur Linkage,,550,1.155,0.0,1.155,0.0,0.0,0.0,1.0,635.25,-0.621461325419399,True,High Rejection Rate,2024-09-17,2024.0,9.0
4010,8835,Jeff's Sporting Goods,"Racing Socks, M",Clothing,8000,2.36,3.3623,2.36,0.0,0.0,0.0,0.0,18880.0,-0.6212285917097431,True,Abnormal Order Volume,2024-11-08,2024.0,11.0
4010,8836,Jeff's Sporting Goods,"Racing Socks, L",Clothing,8000,2.36,3.3623,2.36,0.0,0.0,0.0,0.0,18880.0,-0.6212285917097431,True,Abnormal Order Volume,2024-11-08,2024.0,11.0
2004,4479,Lakewood Bicycle,LL Spindle/Axle,,550,10.3845,0.0,10.384499999999997,1.7763568394002505e-15,1.7105848518467438e-14,0.0,1.0,5711.48,-0.6210621644341019,True,High Rejection Rate,2025-02-13,2025.0,2.0
644,1432,Lakewood Bicycle,LL Spindle/Axle,,550,10.3845,0.0,10.384499999999997,1.7763568394002505e-15,1.7105848518467438e-14,0.0,1.0,5711.48,-0.6210621644341019,True,High Rejection Rate,2024-08-20,2024.0,8.0
944,2116,Circuit Cycles,Front Derailleur Cage,,550,5.775,0.0,5.775,0.0,0.0,0.0,1.0,3176.25,-0.6206665679831485,True,High Rejection Rate,2024-09-17,2024.0,9.0
14,32,Bloomington Multisport,Cup-Shaped Race,,3,48.762,0.0,48.762,0.0,0.0,0.0,1.0,146.29,-0.6183996004217903,True,High Rejection Rate,2022-12-13,2022.0,12.0
24,56,"Compete, Inc.",Front Derailleur Cage,,550,6.195,0.0,6.195,0.0,0.0,0.0,1.0,3407.25,-0.6183348515611425,True,High Rejection Rate,2022-12-14,2022.0,12.0
674,1507,Wood Fitness,Bearing Ball,,3,41.916,0.0,41.916,0.0,0.0,0.0,1.0,125.75,-0.6172270712873652,True,High Rejection Rate,2024-08-24,2024.0,8.0
984,2192,"Midwest Sport, Inc.",Cone-Shaped Race,,3,44.2155,0.0,44.2155,0.0,0.0,0.0,1.0,132.65,-0.616281871041541,True,High Rejection Rate,2024-09-28,2024.0,9.0
396,883,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2024-06-10,2024.0,6.0
675,1508,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2024-08-24,2024.0,8.0
1719,3845,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2025-01-15,2025.0,1.0
2035,4545,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2025-02-18,2025.0,2.0
3220,7092,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2025-06-05,2025.0,6.0
80,181,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2023-02-08,2023.0,2.0
3141,6925,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2025-05-30,2025.0,5.0
238,562,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2023-09-05,2023.0,9.0
2114,4712,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2025-02-25,2025.0,2.0
588,1309,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2024-08-14,2024.0,8.0
3299,7288,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2025-06-12,2025.0,6.0
2272,5047,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2025-03-11,2025.0,3.0
2193,4879,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2025-03-03,2025.0,3.0
505,1123,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2024-08-10,2024.0,8.0
1561,3511,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2024-12-29,2024.0,12.0
3457,7632,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2025-06-24,2025.0,6.0
3615,7975,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2025-07-07,2025.0,7.0
1640,3677,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2025-01-05,2025.0,1.0
3536,7807,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2025-06-30,2025.0,6.0
426,939,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2024-08-03,2024.0,8.0
1877,4202,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2025-02-03,2025.0,2.0
2430,5377,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2025-03-27,2025.0,3.0
2588,5754,"Litware, Inc.",Adjustable Race,,3,50.2635,0.0,50.26343137254902,6.862745097890866e-05,0.00013653554702671773,0.14002800839993695,0.0,150.79,-0.6156823193355749,True,Abnormal Order Volume,2025-04-10,2025.0,4.0
